node_id,lon,lat,elevation
83,11.5932276,48.1465401,513.0
84,11.5957509,48.1464602,514.0
85,11.5936378,48.1453829,515.0
86,11.5932300,48.1440969,515.0
87,11.5954860,48.1452688,515.0
88,11.5963871,48.1482958,511.0
89,11.5795559,48.1468282,519.0
90,11.5731487,48.1460976,518.0
91,11.5746071,48.1482135,519.0
92,11.5686673,48.1448200,520.0
93,11.5647768,48.1459273,519.0
94,11.5635878,48.1462649,525.0
95,11.5654268,48.1507950,518.0
96,11.5649463,48.1522168,520.0
97,11.5661583,48.1518871,518.0
98,11.5737246,48.1517315,519.0
99,11.5805644,48.1489839,521.0
100,11.5769013,48.1500034,521.0
101,11.5759606,48.1502783,521.0
102,11.5747329,48.1533012,518.0
103,11.5754691,48.1545205,517.0
104,11.5944693,48.1418543,513.0
105,11.5934038,48.1454584,515.0
106,11.5933372,48.1456819,515.0
107,11.5932717,48.1459761,513.0
108,11.5932203,48.1463792,513.0
109,11.5928290,48.1465865,513.0
110,11.6017179,48.1337699,530.0
111,11.6009919,48.1339774,530.0
112,11.5995563,48.1343538,528.0
113,11.6016818,48.1334868,530.0
114,11.6015777,48.1332933,530.0
115,11.6008150,48.1329403,530.0
116,11.5989939,48.1335497,528.0
117,11.5987384,48.1331939,535.0
118,11.5994585,48.1329718,535.0
119,11.5996915,48.1324290,535.0
120,11.5973638,48.1331812,526.0
121,11.5976346,48.1340007,532.0
122,11.5997336,48.1309679,534.0
123,11.6012791,48.1321492,530.0
124,11.5964240,48.1360057,532.0
125,11.5944265,48.1354080,531.0
126,11.5985053,48.1409177,526.0
127,11.5989968,48.1409312,526.0
128,11.6013048,48.1427008,527.0
129,11.5846960,48.1392225,517.0
130,11.5811389,48.1380836,524.0
131,11.5785810,48.1386390,524.0
132,11.5772912,48.1389406,524.0
133,11.5778062,48.1377818,524.0
134,11.5805311,48.1356626,520.0
135,11.5840302,48.1359047,517.0
136,11.5835350,48.1392271,517.0
137,11.5776021,48.1326886,523.0
138,11.5757721,48.1318894,526.0
139,11.5842469,48.1372923,517.0
140,11.5839005,48.1363516,517.0
141,11.5835640,48.1358631,517.0
142,11.5836622,48.1359808,517.0
143,11.5812827,48.1388673,521.0
144,11.5848499,48.1322869,517.0
145,11.5800783,48.1321394,523.0
146,11.5785346,48.1399076,522.0
147,11.5784143,48.1394129,524.0
148,11.5831090,48.1374083,521.0
149,11.5813515,48.1353841,518.0
150,11.5865603,48.1373076,524.0
151,11.5866499,48.1375093,518.0
152,11.5931454,48.1394967,514.0
153,11.5922314,48.1387939,514.0
154,11.5886440,48.1361498,519.0
155,11.5823941,48.1309672,522.0
156,11.5792665,48.1293038,532.0
157,11.5809444,48.1278836,518.0
158,11.5829711,48.1278653,517.0
159,11.5838977,48.1281596,517.0
160,11.5865002,48.1292437,521.0
161,11.5837986,48.1315707,517.0
162,11.5762235,48.1278589,521.0
163,11.5757141,48.1275949,521.0
164,11.5705111,48.1255533,519.0
165,11.5666016,48.1234878,521.0
166,11.5692262,48.1217644,526.0
167,11.5738209,48.1221547,516.0
168,11.5755770,48.1229173,525.0
169,11.5772086,48.1241991,519.0
170,11.5724645,48.1206563,522.0
171,11.5714106,48.1210857,516.0
172,11.5718514,48.1198839,522.0
173,11.5727408,48.1194122,522.0
174,11.5737865,48.1201180,521.0
175,11.5707524,48.1207330,516.0
176,11.5736328,48.1199507,521.0
177,11.5704631,48.1205556,516.0
178,11.5858504,48.1216600,535.0
179,11.5533038,48.1301792,524.0
180,11.5536076,48.1320045,514.0
181,11.5534367,48.1335128,523.0
